"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-06-01;2023-06-01;2023-06-01;2023-06-02;2023-06-01;2023-06-02;2023-06-02;2023-06-02;2023-06-02;2023-07-17","Afghanistan",1,0,2023-05-31,2023-05-31
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-06-07;2023-06-06;2023-06-07;2023-06-06;2023-06-06;2023-06-06;2023-07-17;2023-06-06;2023-06-06;2023-06-06","Afghanistan",1,1,2023-06-06,2023-06-06
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-06-08;2023-06-08;2023-06-08;2023-06-08;2023-06-08;2023-06-08;2023-06-08;2023-06-08;2023-06-10;2023-06-09;2023-06-10;2023-06-08;2023-06-08;2023-06-08;2023-07-17","Afghanistan",1,0,2023-06-08,2023-06-08
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43624","Afghanistan",1,0,2023-06-08,2023-06-08
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43662","Afghanistan",1,0,2023-06-20,2023-06-23
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43637","Afghanistan",1,0,2023-06-21,2023-06-21
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-07-07;2023-07-04","Afghanistan",1,0,2023-07-03,2023-07-03
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43661","Afghanistan",1,0,2023-07-15,2023-07-15
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-08-02;2023-08-03;2023-08-05","Afghanistan",1,0,2023-08-01,2023-08-01
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43707","Afghanistan",1,0,2023-08-15,2023-08-15
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-08-21;2023-08-21;2023-08-24;2023-08-21;2023-08-21;2023-08-21;2023-08-23","Afghanistan",1,0,2023-08-21,2023-08-21
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43719","Afghanistan",1,0,2023-09-11,2023-09-11
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43747","Afghanistan",1,0,2023-10-09,2023-10-09
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43752","Afghanistan",1,0,2023-10-13,2023-10-15
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","2023-11-07;2023-11-07","Afghanistan",1,0,2023-11-06,2023-11-06
2023,1,"Afghanistan: Islamic State","Government of Afghanistan","IS","43806","Afghanistan",1,0,2023-12-06,2023-12-07
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43476","Afghanistan",1,0,2023-01-11,2023-01-11
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43476","Afghanistan",1,0,2023-01-12,2023-01-12
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43489","Afghanistan",1,0,2023-01-24,2023-01-24
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43510","Afghanistan",1,0,2023-02-15,2023-02-15
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-02-23;2023-02-23;2023-02-23","Afghanistan",1,0,2023-02-23,2023-02-23
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43528","Afghanistan",1,0,2023-03-05,2023-03-05
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-03-15;2023-03-15;2023-03-15","Afghanistan",1,0,2023-03-14,2023-03-14
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43539","Afghanistan",1,0,2023-03-15,2023-03-15
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43707","Afghanistan",1,1,2023-04-05,2023-04-05
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43578","Afghanistan",1,0,2023-04-24,2023-04-24
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-05-01;2023-05-01;2023-05-01","Afghanistan",1,0,2023-05-01,2023-05-01
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-05-07;2023-05-09;2023-05-09","Afghanistan",1,0,2023-05-06,2023-05-06
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-06-01;2023-06-01;2023-06-02","Afghanistan",1,0,2023-05-31,2023-05-31
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43646","Afghanistan",1,0,2023-06-26,2023-06-26
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-07-01;2023-07-02;2023-07-01","Afghanistan",1,0,2023-06-30,2023-06-30
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43829","Afghanistan",2,0,2023-07-01,2023-12-29
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-08-10;2023-08-10","Afghanistan",1,0,2023-08-10,2023-08-10
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-08-15;2023-08-15;2023-08-16;2023-08-16","Afghanistan",1,0,2023-08-15,2023-08-15
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","2023-08-19;2023-08-19;2023-08-17;2023-08-19","Afghanistan",1,0,2023-08-15,2023-08-15
2023,1,"Afghanistan: Government","Government of Afghanistan","NRF","43708","Afghanistan",1,0,2023-08-31,2023-08-31
