"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-19;2024-04-20;2024-04-22;2024-04-20","Israel",1,9,2024-04-19,2024-04-19
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-20","Israel",1,6,2024-04-20,2024-04-20
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-20","Israel",1,3,2024-04-20,2024-04-20
2024,3,"Israeli settlers - Civilians","Israeli settlers","Civilians","2024-04-20;2024-04-24;2024-04-22","Israel",1,1,2024-04-20,2024-04-20
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-22;2024-04-20","Israel",1,0,2024-04-20,2024-04-20
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-20;2024-04-22","Israel",1,4,2024-04-20,2024-04-20
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-21;2024-04-22","Israel",1,16,2024-04-21,2024-04-21
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-21","Israel",1,8,2024-04-21,2024-04-21
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-21;2024-04-21","Israel",1,15,2024-04-21,2024-04-21
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-21;2024-04-24","Israel",1,0,2024-04-21,2024-04-21
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24;2024-04-22","Israel",1,6,2024-04-22,2024-04-22
2024,3,"Government of Israel - Civilians","Government of Israel","Civilians","2024-04-23;2024-04-24;2024-05-01","Israel",1,1,2024-04-23,2024-04-23
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-02","Yemen (North Yemen)",1,1,2024-04-01,2024-04-01
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-03","Yemen (North Yemen)",1,1,2024-04-02,2024-04-02
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-03","Yemen (North Yemen)",1,1,2024-04-02,2024-04-02
2024,2,"STC - NRF","STC","NRF","2024-04-03","Yemen (North Yemen)",1,2,2024-04-02,2024-04-02
2024,2,"XXX678 - XXX678","XXX678","XXX678","2024-04-07","Yemen (North Yemen)",1,1,2024-04-05,2024-04-05
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-16","Yemen (North Yemen)",1,2,2024-04-15,2024-04-15
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-17","Yemen (North Yemen)",1,1,2024-04-16,2024-04-16
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-18","Yemen (North Yemen)",1,1,2024-04-17,2024-04-17
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-18","Yemen (North Yemen)",1,1,2024-04-17,2024-04-17
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-21","Yemen (North Yemen)",1,1,2024-04-20,2024-04-20
2024,2,"XXX678 - XXX678","XXX678","XXX678","2024-04-23","Yemen (North Yemen)",1,1,2024-04-22,2024-04-22
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-23","Yemen (North Yemen)",1,1,2024-04-22,2024-04-22
2024,1,"Yemen (North Yemen): Government","Government of Yemen (North Yemen)","Forces of the Presidential Leadership Council","2024-04-25","Yemen (North Yemen)",1,1,2024-04-24,2024-04-24
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-22","Israel",1,0,2024-04-23,2024-04-23
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-23","Israel",1,0,2024-04-23,2024-04-23
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-23","Israel",1,0,2024-04-23,2024-04-23
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-23","Israel",1,0,2024-04-23,2024-04-23
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24","Israel",1,0,2024-04-24,2024-04-24
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24","Israel",1,0,2024-04-24,2024-04-24
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24;2024-04-26","Israel",1,4,2024-04-24,2024-04-24
2024,3,"IS - Civilians","IS","Civilians","2024-04-04;2024-04-04;2024-04-05;2024-04-06;2024-04-02;2024-04-02","DR Congo (Zaire)",1,10,2024-04-02,2024-04-03
2024,1,"DR Congo (Zaire): Islamic State","Government of DR Congo (Zaire)","IS","2024-04-05;2024-04-18;2024-04-06","DR Congo (Zaire)",1,0,2024-04-04,2024-04-04
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24;2024-04-26","Israel",1,3,2024-04-24,2024-04-24
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24","Israel",1,0,2024-04-24,2024-04-24
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-25;2024-04-26","Israel",1,6,2024-04-25,2024-04-25
2024,3,"URDPC - Civilians","URDPC","Civilians","2024-04-06;2024-04-07;2024-04-08;2024-04-08","DR Congo (Zaire)",1,18,2024-04-06,2024-04-06
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24","Israel",1,0,2024-04-24,2024-04-24
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-24","Israel",1,0,2024-04-24,2024-04-24
2024,3,"IS - Civilians","IS","Civilians","2024-04-07;2024-04-12;2024-04-10;2024-04-07;2024-04-08","DR Congo (Zaire)",1,8,2024-04-06,2024-04-07
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-25","Israel",1,0,2024-04-25,2024-04-25
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-26;2024-04-25","Israel",1,0,2024-04-25,2024-04-25
2024,1,"DR Congo (Zaire): Government","Government of DR Congo (Zaire)","AFC","2024-04-08;2024-04-08;2024-04-08;2024-04-08;2024-04-10;2024-04-04;2024-04-09","DR Congo (Zaire)",1,1,2024-04-04,2024-04-04
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-25","Israel",1,1,2024-04-25,2024-04-25
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-15","Israel",1,3,2024-04-13,2024-04-13
2024,3,"Palestinian insurgents - Civilians","Palestinian insurgents","Civilians","2024-04-15","Israel",1,1,2024-04-12,2024-04-13
2024,1,"DR Congo (Zaire): Islamic State","Government of DR Congo (Zaire)","IS","2024-04-09;2024-04-09;2024-04-18;2024-04-09;2024-04-10","DR Congo (Zaire)",1,0,2024-04-08,2024-04-08
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-15","Israel",1,0,2024-04-11,2024-04-11
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-25","Israel",1,1,2024-04-25,2024-04-25
2024,3,"Government of DR Congo (Zaire) - Civilians","Government of DR Congo (Zaire)","Civilians","2024-04-12;2024-04-10;2024-04-10;2024-04-17;2024-04-11","DR Congo (Zaire)",1,2,2024-04-09,2024-04-10
2024,3,"IS - Civilians","IS","Civilians","2024-04-13;2024-04-14;2024-04-15;2024-04-13;2024-04-14;2024-04-16;2024-04-15","DR Congo (Zaire)",1,12,2024-04-12,2024-04-13
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-15","Israel",1,0,2024-04-12,2024-04-14
